year,aea_energy_region,plant_name,total,ff-turbines,recip-ice,hydro,wind,utility-solar,batteries,flywheel,other,source,data_version
2021,Yukon-Koyukuk/Upper Tanana,Chalkyitsik,0.327,0,0.327,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Central,0.345,0,0.345,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Centennial,4.3,0,3.3,0,0,0,1,0,,EIA860,Early Release
2021,Northwest Arctic,Buckland,1.675,0,1.152,0,0.2,0.046,0.277,0,,EIA860,Early Release
2021,Bering Straits,Brevig Mission,1,0,1,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Bradley Lake,126,0,0,126,0,0,0,0,,AEA,Early Release
2021,Southeast,Blue Lake Hydro,15.9,0,0,15.9,0,0,0,0,,EIA860,Early Release
2021,Southeast,Blind Slough,14.5,0,12.9,1.6,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Black Bear Lake,4.5,0,0,4.5,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Birch Creek,,,,,,,,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Bettles,0.6,0,0.6,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Bethel,13.5,0,12.6,0,0.9,0,0,,,No data,Early Release
2021,Railbelt,Bernice Lake,76.7,76.7,0,0,0,0,0,,,No data,Early Release
2021,Railbelt,Beluga,312.4,312.4,0,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Beaver Falls,5.4,0,0,5.4,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Beaver,0.32,0,0.32,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Battery Energy Storage System,40,0,0,0,0,0,40,0,,EIA860,Early Release
2021,North Slope,Barrow,20.3,17.3,3,0,0,0,0,0,,AEA,Early Release
2021,Railbelt,Aurora Energy LLC Chena,27.5,27.5,0,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Auke Bay,36.2,33.7,2.5,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,North Slope,Atqasuk,3.2,0,3.2,0,0,0,0,0,,0,Early Release
2021,Lower Yukon-Kuskokwim,Atmautluak,1.104,0,1.104,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Aleutians,Atka,0.541,0,0.257,0.284,0,0,0,0,,AEA,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Arctic Village,0.395,0,0.395,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Anvik,0.44,0,0.44,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Annex Creek,4,0,0,4,0,0,0,0,,City of Unalaska,Early Release
2021,Lower Yukon-Kuskokwim,Aniak,2.2,0,2.2,0,0,0,0,0,,AEA PH Assessment,Early Release
